head_sync,Time
0.116048995,410.4
0.094930172,410.8
0.099859189,411.2
0.116965176,411.6
0.117085607,412
0.106563844,412.4
0.096234323,412.8
0.100635235,413.2
0.104742156,413.6
0.135687414,414
0.131776149,414.4
0.114668795,414.8
0.125996637,415.2
0.132614436,415.6
0.140110508,416
0.134773994,416.4
0.11839694,416.8
0.119320023,417.2
0.106496748,417.6
0.105379854,418
0.126238882,418.4
0.122075861,418.8
0.120269121,419.2
0.123665165,419.6
0.141303068,420
0.134822307,420.4
0.125301694,420.8
0.123386942,421.2
0.156860394,421.6
0.176806302,422
0.16781765,422.4
0.160248799,422.8
0.182898892,423.2
0.120317515,423.6
0.116664346,424
0.119362496,424.4
0.117623636,424.8
0.12130755,425.2
0.160617019,425.6
0.1183399,426
0.111644493,426.4
0.107672929,426.8
0.114259553,427.2
0.102366932,427.6
0.094898649,428
0.081008876,428.4
0.084453062,428.8
0.085113432,429.2
0.085213484,429.6
0.096245049,430
0.083028575,430.4
0.09355255,430.8
0.100043807,431.2
0.093966406,431.6
0.095764538,432
0.089985981,432.4
0.103804631,432.8
0.107844939,433.2
0.115159738,433.6
0.12772161,434
0.126093977,434.4
0.122395936,434.8
0.128322966,435.2
0.128198017,435.6
0.137155308,436
0.138996628,436.4
0.14326093,436.8
0.158138854,437.2
0.205047111,437.6
0.191154511,438
0.216299764,438.4
0.139075585,438.8
0.104564398,439.2
0.12153687,439.6
0.111920687,440
0.113805978,440.4
0.109636691,440.8
0.091036657,441.2
0.088808001,441.6
0.085004998,442
0.089027417,442.4
0.099518324,442.8
0.120921661,443.2
0.139489764,443.6
0.144124336,444
0.149666163,444.4
0.156077224,444.8
0.154176059,445.2
0.152242264,445.6
0.163946171,446
0.1431761,446.4
0.14723408,446.8
0.156318707,447.2
0.122334558,447.6
0.118732149,448
0.123656305,448.4
0.116054972,448.8
0.134779844,449.2
0.151279078,449.6
0.174200675,450
0.19530456,450.4
0.159718633,450.8
0.171638339,451.2
0.139093104,451.6
0.131593579,452
0.104160688,452.4
0.088665464,452.8
0.102923919,453.2
0.105542431,453.6
0.119380975,454
0.124988573,454.4
0.097152646,454.8
0.084329193,455.2
0.09222141,455.6
0.095720008,456
0.101773395,456.4
0.094646391,456.8
0.103665982,457.2
0.095656102,457.6
0.088484629,458
0.090354413,458.4
0.094820498,458.8
0.105802961,459.2
0.100170797,459.6
0.101354361,460
0.106772532,460.4
0.13652409,460.8
0.157181225,461.2
0.192735618,461.6
0.198074768,462
0.166452148,462.4
0.150324104,462.8
0.141060287,463.2
0.123806636,463.6
0.094394099,464
0.087502952,464.4
0.086255576,464.8
0.098774406,465.2
0.104217673,465.6
0.110492877,466
