r_r_lPFC,Time
0.209428567,527.6
0.107057237,528
0.040382205,528.4
0.015345277,528.8
0.02667343,529.2
0.053016836,529.6
0.078117444,530
0.096433706,530.4
0.108119237,530.8
0.115511374,531.2
0.121334419,531.6
0.127390948,532
0.13294292,532.4
0.132176966,532.8
0.110618852,533.2
0.047868973,533.6
-0.057065514,534
-0.190611424,534.4
-0.346930977,534.8
-0.517536218,535.2
-0.682291841,535.6
-0.818972648,536
-0.91973325,536.4
-0.986867301,536.8
-1.022578131,537.2
-1.027623424,537.6
-1.004117586,538
-0.960831665,538.4
-0.917969034,538.8
-0.893983567,539.2
-0.889364684,539.6
-0.896215931,540
-0.899992795,540.4
-0.892989861,540.8
-0.88096675,541.2
-0.870625466,541.6
-0.864656559,542
-0.863007862,542.4
-0.863749928,542.8
-0.863859718,543.2
-0.862586501,543.6
-0.863412648,544
-0.868167979,544.4
-0.872927391,544.8
-0.873019084,545.2
-0.869725667,545.6
-0.868265789,546
-0.87097997,546.4
-0.879797637,546.8
-0.900933926,547.2
-0.940603765,547.6
-0.986529164,548
-1.001119464,548.4
-0.980070362,548.8
-0.942597008,549.2
-0.892625334,549.6
-0.829525337,550
-0.76418857,550.4
-0.710560914,550.8
-0.670373223,551.2
-0.631538492,551.6
-0.579382384,552
-0.511048853,552.4
-0.436203869,552.8
-0.365835291,553.2
-0.306438864,553.6
-0.261624616,554
-0.23364741,554.4
