r_r_VM,Time
-0.980461336,193.9658494
-0.988502352,194.3590626
-0.993615,194.7522757
-0.992317707,195.1454889
-0.984393323,195.538702
-0.977355478,195.9319151
-0.973382447,196.3251283
-0.971468146,196.7183414
-0.971274691,197.1115546
-0.973599171,197.5047677
-0.981803741,197.8979809
-0.999681638,198.291194
-1.011328363,198.6844071
-0.995003626,199.0776203
-0.963695118,199.4708334
-0.932462119,199.8640466
-0.905667764,200.2572597
-0.884891,200.6504728
-0.871623229,201.043686
-0.867073681,201.4368991
-0.868116379,201.8301123
-0.861111068,202.2233254
-0.830586476,202.6165385
-0.772133042,203.0097517
-0.697307349,203.4029648
-0.621756188,203.796178
-0.555098571,204.1893911
-0.502198977,204.5826043
-0.465597586,204.9758174
-0.446590604,205.3690305
-0.44513189,205.7622437
-0.458981232,206.1554568
-0.478814599,206.54867
-0.478104681,206.9418831
-0.461759868,207.3350962
-0.43627643,207.7283094
-0.418667429,208.1215225
-0.42424675,208.5147357
-0.454144977,208.9079488
-0.499569328,209.3011619
-0.543784226,209.6943751
-0.57320022,210.0875882
-0.592407037,210.4808014
-0.611269696,210.8740145
-0.626138222,211.2672277
-0.626230639,211.6604408
-0.603020258,212.0536539
-0.559838084,212.4468671
-0.513335087,212.8400802
-0.480150554,213.2332934
-0.470105618,213.6265065
-0.481982328,214.0197196
-0.491506917,214.4129328
-0.456636025,214.8061459
-0.379835707,215.1993591
-0.289119375,215.5925722
-0.220089079,215.9857853
-0.187174494,216.3789985
-0.189108589,216.7722116
-0.225971911,217.1654248
-0.298964847,217.5586379
-0.399627154,217.9518511
-0.504409253,218.3450642
-0.58381549,218.7382773
-0.613508509,219.1314905
-0.584685376,219.5247036
-0.500779212,219.9179168
-0.391046683,220.3111299
-0.289959531,220.704343
-0.216356181,221.0975562
-0.173160113,221.4907693
-0.151409056,221.8839825
-0.136934403,222.2771956
-0.124432538,222.6704087
-0.119636689,223.0636219
-0.136037202,223.456835
-0.187240031,223.8500482
-0.274316385,224.2432613
-0.389651603,224.6364745
-0.525584093,225.0296876
-0.670920781,225.4229007
-0.806594125,225.8161139
-0.914663305,226.209327
-0.988607061,226.6025402
-1.025379447,226.9957533
-1.022156159,227.3889664
-0.989039959,227.7821796
-0.950779992,228.1753927
-0.921935432,228.5686059
-0.915664891,228.961819
-0.930845667,229.3550321
-0.939328712,229.7482453
-0.931222453,230.1414584
-0.912740212,230.5346716
-0.888008193,230.9278847
-0.856784009,231.3210979
-0.822328718,231.714311
-0.791182009,232.1075241
-0.764810347,232.5007373
-0.742798095,232.8939504
-0.724788199,233.2871636
-0.710566677,233.6803767
-0.700651925,234.0735898
-0.69651628,234.466803
-0.700718278,234.8600161
-0.71550256,235.2532293
-0.737217197,235.6464424
-0.75709719,236.0396555
-0.772874981,236.4328687
-0.789593936,236.8260818
-0.797896373,237.219295
-0.784045019,237.6125081
-0.763479794,238.0057213
-0.748507703,238.3989344
-0.740099002,238.7921475
-0.739589395,239.1853607
-0.752427221,239.5785738
-0.778744649,239.971787
-0.810801598,240.3650001
-0.838146977,240.7582132
-0.851506544,241.1514264
-0.844263594,241.5446395
-0.811704352,241.9378527
-0.749038666,242.3310658
-0.653914473,242.7242789
-0.540523072,243.1174921
-0.427311928,243.5107052
-0.32180106,243.9039184
-0.233061662,244.2971315
-0.171592196,244.6903447
-0.141477748,245.0835578
-0.141990512,245.4767709
-0.172094096,245.8699841
-0.231647821,246.2631972
-0.321452361,246.6564104
-0.442088245,247.0496235
-0.58490498,247.4428366
-0.724638058,247.8360498
-0.834549173,248.2292629
-0.896773914,248.6224761
-0.902528896,249.0156892
-0.849543354,249.4089023
-0.740003918,249.8021155
-0.58083293,250.1953286
-0.387201676,250.5885418
-0.18348984,250.9817549
0.018296911,251.3749681
0.22306101,251.7681812
0.429937523,252.1613943
0.617726012,252.5546075
0.758575969,252.9478206
0.837311527,253.3410338
0.845836966,253.7342469
0.776935563,254.12746
0.633587666,254.5206732
0.445100485,254.9138863
0.250156397,255.3070995
0.079001724,255.7003126
-0.056550486,256.0935257
-0.154241601,256.4867389
-0.212921619,256.879952
-0.231034805,257.2731652
-0.206305347,257.6663783
-0.135700982,258.0595915
-0.017348738,258.4528046
0.1426006,258.8460177
0.324711255,259.2392309
0.503588995,259.632444
0.651229028,260.0256572
0.735081106,260.4188703
0.738222328,260.8120834
0.673779207,261.2052966
0.565826047,261.5985097
0.436336977,261.9917229
0.312390423,262.384936
0.22228996,262.7781491
0.172015041,263.1713623
0.154580574,263.5645754
0.164453008,263.9577886
0.20078379,264.3510017
0.259489588,264.7442149
0.326339444,265.137428
0.388804733,265.5306411
0.438773344,265.9238543
0.467981215,266.3170674
0.464088704,266.7102806
0.413738851,267.1034937
0.312188976,267.4967068
0.1640407,267.88992
-0.020503138,268.2831331
-0.224121951,268.6763463
-0.423015855,269.0695594
-0.600312923,269.4627725
-0.751271563,269.8559857
-0.875752784,270.2491988
-0.974250047,270.642412
-1.045222137,271.0356251
-1.082574163,271.4288383
-1.077949437,271.8220514
-1.027281069,272.2152645
-0.939064922,272.6084777
-0.834309125,273.0016908
-0.733010536,273.394904
-0.646153109,273.7881171
-0.574848813,274.1813302
-0.516400399,274.5745434
-0.474401021,274.9677565
-0.453950857,275.3609697
-0.458554786,275.7541828
-0.488708009,276.1473959
-0.535035295,276.5406091
-0.58270482,276.9338222
-0.620371328,277.3270354
-0.640567724,277.7202485
-0.638040375,278.1134617
-0.606115992,278.5066748
-0.537898686,278.8998879
-0.435941479,279.2931011
-0.31041791,279.6863142
-0.164054181,280.0795274
-0.003018875,280.4727405
0.157420076,280.8659536
0.303798064,281.2591668
0.434431723,281.6523799
0.551432285,282.0455931
0.65214315,282.4388062
0.730246894,282.8320193
0.787754993,283.2252325
0.826258363,283.6184456
0.83558197,284.0116588
0.813005469,284.4048719
0.76069702,284.7980851
0.68503598,285.1912982
0.606249583,285.5845113
0.542387143,285.9777245
0.498675329,286.3709376
0.470741321,286.7641508
0.44987015,287.1573639
0.435368264,287.550577
0.435012665,287.9437902
0.442270806,288.3370033
0.441657711,288.7302165
0.425117706,289.1234296
0.390847262,289.5166427
0.340367417,289.9098559
0.276409527,290.303069
0.200068828,290.6962822
0.107396428,291.0894953
-0.014413153,291.4827085
-0.176547976,291.8759216
-0.364971497,292.2691347
-0.55008808,292.6623479
-0.698595077,293.055561
-0.789329222,293.4487742
-0.828644978,293.8419873
